bank,branch,service,street,city,state,zip,latitude,longitude
Wells Fargo Bank,163rd Street,Full Service Brick and Mortar Office,800 N Miami Beach Blvd,Miami,FL,33162,25.92861972,-80.18421841
Wells Fargo Bank,49th Street,Full Service Brick and Mortar Office,5005 Ulmerton Road,Clearwater,FL,33760,27.89404747,-82.701486
Wells Fargo Bank,66th Street,Full Service Brick and Mortar Office,"3131 66th Street, North",Saint Petersburg,FL,33710,27.80078076,-82.72844053
Wells Fargo Bank,75th Street,Full Service Brick and Mortar Office,7380 Manatee Avenue West,Bradenton,FL,34209,27.49614124,-82.63557227
Wells Fargo Bank,Abacoa,Full Service Brick and Mortar Office,5420 Military Trail,Jupiter,FL,33458,26.88423525,-80.10364861
Wells Fargo Bank,Airport Road,Full Service Brick and Mortar Office,125 N Airport-Pulling Road,Naples,FL,34104,26.153604,-81.766359
Wells Fargo Bank,Alafaya Trail,Full Service Brick and Mortar Office,4200 Alafaya Trail,Oviedo,FL,32765,28.61420772,-81.20752915
Wells Fargo Bank,Alton Road,Full Service Brick and Mortar Office,1901 Alton Road,Miami Beach,FL,33139,25.79533291,-80.14075716
Wells Fargo Bank,Anastasia Island,Full Service Brick and Mortar Office,200 Plantation Island Dr S,Saint Augustine,FL,32080,29.86106245,-81.29127299
Wells Fargo Bank,Andrews Avenue,Full Service Brick and Mortar Office,1710 South Andrews Avenue,Fort Lauderdale,FL,33316,26.1004691,-80.1419712
Wells Fargo Bank,Apopka,Full Service Brick and Mortar Office,2222 Semoran Boulevard,Apopka,FL,32703,28.672209,-81.468873
Wells Fargo Bank,Arborwood Village,Full Service Brick and Mortar Office,13541 Goldenwood Drive,Fort Myers,FL,33913,26.548992,-81.7871715
Wells Fargo Bank,Arcadia,Full Service Brick and Mortar Office,1328 East Oak Street,Arcadia,FL,34266,27.20998157,-81.8450267
Wells Fargo Bank,Arthur Godfrey,Full Service Brick and Mortar Office,750 Arthur Godfrey Road,Miami Beach,FL,33140,25.813656,-80.131527
Wells Fargo Bank,Arvida,Full Service Brick and Mortar Office,5131 Congress Avenue,Boca Raton,FL,33487,26.39514258,-80.10247028
Wells Fargo Bank,Atlantic Beach,Full Service Brick and Mortar Office,1031 Atlantic Blvd,Atlantic Beach,FL,32233,30.32455223,-81.41269981
Wells Fargo Bank,Aventura North,Full Service Brick and Mortar Office,2929 Aventura Boulevard,Miami,FL,33180,25.96136872,-80.14238892
Wells Fargo Bank,Aventura South,Full Service Brick and Mortar Office,18545 Biscayne Boulevard,Miami,FL,33180,25.947153,-80.146359
Wells Fargo Bank,Bardmoor,Full Service Brick and Mortar Office,8700 Bryan Dairy Road,Seminole,FL,33777,27.87183,-82.7594595
Wells Fargo Bank,Barefoot Bay,Full Service Brick and Mortar Office,947 Barefoot Boulevard,Sebastian,FL,32976,27.886824,-80.5241025
Wells Fargo Bank,Bartow,Full Service Brick and Mortar Office,205 South Broadway,Bartow,FL,33830,27.895257,-81.843723
Wells Fargo Bank,Bartram Park,Full Service Brick and Mortar Office,13750 Old Saint Augustine Road,Jacksonville,FL,32258,30.142323,-81.5511375
Wells Fargo Bank,Bay Hill,Full Service Brick and Mortar Office,7740 West Sand Lake Road,Orlando,FL,32819,28.44986651,-81.488538
Wells Fargo Bank,Bayshore,Full Service Brick and Mortar Office,5500 Bay Shore Road,North Fort Myers,FL,33917,26.686764,-81.866277
Wells Fargo Bank,Baywind Commons,Full Service Brick and Mortar Office,9861 Okeechobee Boulevard,West Palm Beach,FL,33411,26.70939567,-80.19894105
Wells Fargo Bank,Beach Boulevard,Full Service Brick and Mortar Office,11415 Beach Boulevard,Jacksonville,FL,32246,30.287772,-81.524898
Wells Fargo Bank,Beach Boulevard West,Full Service Brick and Mortar Office,5622 Beach Boulevard,Jacksonville,FL,32207,30.29370859,-81.6060512
