bank,branch,service,street,city,state,zip,latitude,longitude
Wells Fargo Bank,171 17th Street,Full Service Brick and Mortar Office,171 17th Street N.W.,Atlanta,GA,30363,33.791508,-84.393639
Wells Fargo Bank,Alpharetta,Full Service Brick and Mortar Office,21 North Main Street,Alpharetta,GA,30009,34.0760148,-84.29449694
Wells Fargo Bank,Americus Main,Full Service Brick and Mortar Office,217 West Forsyth Street,Americus,GA,31709,32.07402,-84.2340915
Wells Fargo Bank,Ansley Mall,Full Service Brick and Mortar Office,"1605 Monroe Drive, N.E.",Atlanta,GA,30324,33.79850479,-84.37007291
Wells Fargo Bank,Arbor Place Mall Nd,Limited Service Messenger Office,6700 Douglas Blvd,Douglasville,GA,30135,33.73018982,-84.74548673
Wells Fargo Bank,Athens Business Banking,Limited Service Facility Office,2470 Daniel Bridge Rd,Athens,GA,30606,33.90875994,-83.45774499
Wells Fargo Bank,Atlanta Road,Full Service Brick and Mortar Office,2890 Atlanta Street,Smyrna,GA,30080,33.88281204,-84.51400664
Wells Fargo Bank,Augusta Exchange,Full Service Brick and Mortar Office,3535 Wheeler Road,Augusta,GA,30909,33.486336,-82.076877
Wells Fargo Bank,Augusta Mall Nd,Limited Service Messenger Office,3450 Wrightsboro Rd,Augusta,GA,30909,33.46740146,-82.07993978
Wells Fargo Bank,Austell Road,Full Service Brick and Mortar Office,4046 Austell Road,Austell,GA,30106,33.855741,-84.6028305
Wells Fargo Bank,Barrett Parkway,Full Service Brick and Mortar Office,850 Barrett Parkway,Kennesaw,GA,30144,34.00534474,-84.57579848
Wells Fargo Bank,Belair Road,Full Service Brick and Mortar Office,101 South Belair Road,Augusta,GA,30907,33.50711147,-82.14160766
Wells Fargo Bank,Bells Ferry,Full Service Brick and Mortar Office,6725 Highway 92,Woodstock,GA,30189,34.0884,-84.5767395
Wells Fargo Bank,Belvedere,Full Service Brick and Mortar Office,1221 Columbia Drive,Decatur,GA,30032,33.75263217,-84.26583444
Wells Fargo Bank,Berry Boulevard,Full Service Brick and Mortar Office,2 Redmond Road,Rome,GA,30165,34.27815145,-85.18247725
Wells Fargo Bank,Berwick,Full Service Brick and Mortar Office,5708 Ogeechee Road,Savannah,GA,31405,32.027139,-81.224037
Wells Fargo Bank,Bethesda Walk,Full Service Brick and Mortar Office,3065 Lawrenceville Highway,Lawrenceville,GA,30044,33.92073799,-84.08599855
Wells Fargo Bank,Birmingham Village,Full Service Brick and Mortar Office,"15800 Birmingham Hwy, Bldg 700",Alpharetta,GA,30004,34.16577319,-84.33347096
