bank,branch,service,street,city,state,zip,latitude,longitude
JPMorgan Chase Bank,135th Street & Fifth Avenue,Full Service Brick and Mortar Office,2218 5th Avenue,New York,NY,10037,40.81257679906509,-73.93779751125273
JPMorgan Chase Bank,187-15 Union Turnpike,Full Service Brick and Mortar Office,18715 Union Turnpike,Fresh Meadows,NY,11366,40.729213822378604,-73.7814052559005
JPMorgan Chase Bank,225th & Broadway,Full Service Brick and Mortar Office,90 W 225th Street,Bronx,NY,10463,40.87433075630454,-73.90939265251885
JPMorgan Chase Bank,37th & Seventh,Full Service Brick and Mortar Office,498 7th Ave,New York,NY,10018,40.752698045697564,-73.98940647888773
JPMorgan Chase Bank,40th And Lexington,Full Service Brick and Mortar Office,355 Lexington Avenue,New York,NY,10017,40.75033955813957,-73.97682313168683
JPMorgan Chase Bank,57th & First Avenue,Full Service Brick and Mortar Office,360 E. 57th Street,New York,NY,10022,40.758264,-73.9632195
JPMorgan Chase Bank,70th & Broadway Banking Cntr,Full Service Brick and Mortar Office,2030 Broadway,New York,NY,10023,40.776720621703504,-73.98197978100302
JPMorgan Chase Bank,73rd Avenue,Full Service Brick and Mortar Office,15617 73rd Avenue,Flushing,NY,11367,40.727203417161924,-73.81153936733222
JPMorgan Chase Bank,73rd Street & Broadway,Full Service Brick and Mortar Office,2099 Broadway,New York,NY,10023,40.77954,-73.982025
JPMorgan Chase Bank,Abingdon Square,Full Service Brick and Mortar Office,302 West 12th Street,New York,NY,10014,40.737303,-74.0047095
JPMorgan Chase Bank,Albee Square,Full Service Brick and Mortar Office,20 Flatbush Avenue,Brooklyn,NY,11217,40.688270770183,-73.980546364014
JPMorgan Chase Bank,Alden Manor,Full Service Brick and Mortar Office,23939 Linden Boulevard,Elmont,NY,11003,40.689991139735,-73.72322775303526
JPMorgan Chase Bank,Allerton Avenue,Full Service Brick and Mortar Office,748 Allerton Avenue,Bronx,NY,10467,40.865309999999994,-73.86559199999999
JPMorgan Chase Bank,Amboy Montreal,Full Service Brick and Mortar Office,3155 Amboy Road,Staten Island,NY,10306,40.56373219484673,-74.13248349446008
JPMorgan Chase Bank,Amityville Drive-In,Limited Service Facility Office,4 John Street,Amityville,NY,11701,40.679001693117726,-73.41964988410633
JPMorgan Chase Bank,Amityville Driveup,Full Service Brick and Mortar Office,8 Green Ave,Amityville,NY,11701,40.67837024672523,-73.4178137581222
JPMorgan Chase Bank,Apple Valley Center,Full Service Brick and Mortar Office,704 Freedom Plains Road,Poughkeepsie,NY,12603,41.668938,-73.8396
JPMorgan Chase Bank,Arcadian Shopping Center,Full Service Retail Office,214 S Highland Avenue,Ossining,NY,10562,41.14466100000001,-73.861668
JPMorgan Chase Bank,Arden Heights,Full Service Brick and Mortar Office,230 Arden Avenue,Staten Island,NY,10312,40.55382,-74.1928905
JPMorgan Chase Bank,Ardsley,Full Service Brick and Mortar Office,875 Saw Mill River Road,Ardsley,NY,10502,41.01836786787406,-73.84389896222547
JPMorgan Chase Bank,Armonk Square,Full Service Brick and Mortar Office,"400 Main Street, Suite 1",Armonk,NY,10504,41.125824932524644,-73.7139527018152
JPMorgan Chase Bank,Arthur Avenue,Full Service Brick and Mortar Office,2402 Arthur Avenue,Bronx,NY,10458,40.855792641958615,-73.8873300442611
JPMorgan Chase Bank,Arverne By The Sea Banking Center Br,Full Service Brick and Mortar Office,6820 Rockaway Beach Blvd,Arverne,NY,11692,40.59050400000001,-73.797444
JPMorgan Chase Bank,Astor Place Banking Center,Full Service Brick and Mortar Office,26 Astor Place,New York,NY,10003,40.729796738819395,-73.99126166111719
JPMorgan Chase Bank,Astoria 30th Avenue,Full Service Brick and Mortar Office,31-05 30th Avenue,Astoria,NY,11102,40.766733931732865,-73.92098751373423
JPMorgan Chase Bank,Astoria Broadway And 21st St,Full Service Brick and Mortar Office,21-21 Broadway,Astoria,NY,11106,40.76473612046275,-73.93073034901036
JPMorgan Chase Bank,Atlantic Avenue And Ozone Park Branc,Full Service Brick and Mortar Office,102-20 Atlantic Avenue,Ozone Park,NY,11416,40.6900397063306,-73.84188868275727
JPMorgan Chase Bank,Audubon,Full Service Brick and Mortar Office,3940 Broadway,New York,NY,10032,40.83925122869182,-73.94091170676329
JPMorgan Chase Bank,Avenue H,Full Service Brick and Mortar Office,1599 Flatbush Avenue,Brooklyn,NY,11210,40.63139928671583,-73.94610749901905
