bank,branch,service,street,city,state,zip,latitude,longitude
Wells Fargo Bank,3rd & Grace,Full Service Brick and Mortar Office,300 North Third Street,Wilmington,NC,28401,34.23931531,-77.94648649
Wells Fargo Bank,Abbey Plaza,Full Service Brick and Mortar Office,635 Park Street,Belmont,NC,28012,35.25301486,-81.02775436
Wells Fargo Bank,Advance Main,Full Service Brick and Mortar Office,5306 Us Hwy 158,Advance,NC,27006,36.004617,-80.439165
Wells Fargo Bank,Afton Ridge,Full Service Brick and Mortar Office,400 Ashdale Ct,Concord,NC,28027,35.421012,-80.6760405
Wells Fargo Bank,Ahoskie,Full Service Brick and Mortar Office,300 East Main Street,Ahoskie,NC,27910,36.28429822,-76.98369512
Wells Fargo Bank,Alamance Crossing,Full Service Brick and Mortar Office,1796 Glidewell Drive,Burlington,NC,27215,36.068346,-79.51869
Wells Fargo Bank,Albemarle Square,Full Service Brick and Mortar Office,9005 Albemarle Road,Charlotte,NC,28227,35.21174255,-80.6908556
Wells Fargo Bank,Apex At Beaver Creek,Full Service Brick and Mortar Office,1100 Beaver Creek Commons Drive,Apex,NC,27502,35.74515262,-78.87396218
Wells Fargo Bank,Arboretum,Full Service Brick and Mortar Office,2821 Pineville-Matthews Road,Charlotte,NC,28270,35.100144,-80.776476
Wells Fargo Bank,Archdale,Full Service Brick and Mortar Office,11245 North Main Street,High Point,NC,27263,35.914077,-79.9721685
Wells Fargo Bank,Asheville Arden,Full Service Brick and Mortar Office,2373 Hendersonville Road,Arden,NC,28704,35.46414305,-82.5152812
Wells Fargo Bank,Asheville East,Full Service Brick and Mortar Office,912 Tunnel Road,Asheville,NC,28805,35.588133,-82.502037
Wells Fargo Bank,Asheville Main,Full Service Brick and Mortar Office,One Haywood Street,Asheville,NC,28801,35.59638598,-82.55870522
Wells Fargo Bank,Asheville Mall Nd,Limited Service Messenger Office,3 S Tunnel Rd,Asheville,NC,28805,35.581779,-82.5263595
Wells Fargo Bank,Asheville North,Full Service Brick and Mortar Office,800 Merrimon Avenue,Asheville,NC,28804,35.62590385,-82.55379533
Wells Fargo Bank,Asheville West,Full Service Brick and Mortar Office,1 Vermont Avenue,Asheville,NC,28806,35.5779966,-82.59460283
Wells Fargo Bank,Avondale,Full Service Brick and Mortar Office,300 Foushee Street,Durham,NC,27704,36.01566,-78.888132
Wells Fargo Bank,Ballantyne,Full Service Brick and Mortar Office,13715 Conlan Circle,Charlotte,NC,28277,35.05771554,-80.85100448
Wells Fargo Bank,Ballantyne Commons,Full Service Brick and Mortar Office,11230 Elm Lane,Charlotte,NC,28277,35.057466,-80.8171695
Wells Fargo Bank,Bayboro Main,Full Service Brick and Mortar Office,715 Main Street,Bayboro,NC,28515,35.14353436,-76.78171611
Wells Fargo Bank,Beacon Plaza,Full Service Brick and Mortar Office,3959 New Bern Avenue,Raleigh,NC,27610,35.79920633,-78.56896431
Wells Fargo Bank,Beaufort Oak Street,Full Service Brick and Mortar Office,1792 Live Oak Street,Beaufort,NC,28516,34.7308974,-76.63881394
Wells Fargo Bank,Belhaven,Full Service Brick and Mortar Office,365 Pamlico Street,Belhaven,NC,27810,35.53870723,-76.61996304
Wells Fargo Bank,Benvenue,Full Service Brick and Mortar Office,1400 Benvenue Road,Rocky Mount,NC,27804,35.97816481,-77.80630825
Wells Fargo Bank,Berkeley Mall,Full Service Brick and Mortar Office,605 North Berkley Boulevard,Goldsboro,NC,27534,35.376651,-77.9411205
