bank,branch,service,street,city,state,zip,latitude,longitude
First-Citizens Bank & Trust Company,17 North,Full Service Brick and Mortar Office,2676 Highway 17 North,Mount Pleasant,SC,29466,32.85297,-79.8044985
First-Citizens Bank & Trust Company,Abbeville Main,Full Service Brick and Mortar Office,201 North Main Street,Abbeville,SC,29620,34.178634,-82.3803885
First-Citizens Bank & Trust Company,Aiken Main Office,Full Service Brick and Mortar Office,"125 Park Avenue, S.W.",Aiken,SC,29801,33.55869298,-81.72116235
First-Citizens Bank & Trust Company,Anderson Main,Full Service Brick and Mortar Office,102 North Main Street,Anderson,SC,29621,34.503624,-82.650024
First-Citizens Bank & Trust Company,Andrews,Full Service Brick and Mortar Office,12 North Morgan Avenue,Andrews,SC,29510,33.45211735,-79.56071015
First-Citizens Bank & Trust Company,Ashley Phosphate,Full Service Brick and Mortar Office,2170 Ashley Phosphate Road,Charleston,SC,29406,32.93694,-80.0419185
First-Citizens Bank & Trust Company,Augusta Street,Full Service Brick and Mortar Office,2201 Augusta Street,Greenville,SC,29605,34.824024,-82.392714
First-Citizens Bank & Trust Company,Ballentine,Full Service Brick and Mortar Office,1509 Dutch Fork Road,Irmo,SC,29063,34.12438079,-81.23771566
First-Citizens Bank & Trust Company,Barnwell,Full Service Brick and Mortar Office,10355 Dunbarton Boulevard,Barnwell,SC,29812,33.24422432,-81.37405164
First-Citizens Bank & Trust Company,Batesburg,Full Service Brick and Mortar Office,129 N. Pine Street,Batesburg,SC,29006,33.906042,-81.547011
First-Citizens Bank & Trust Company,Beaufort,Full Service Brick and Mortar Office,921 Bay Street,Beaufort,SC,29902,32.43109291,-80.67278173
First-Citizens Bank & Trust Company,Beech Island,Full Service Brick and Mortar Office,13999 Atomic Rd,Beech Island,SC,29842,33.42966691,-81.88722313
First-Citizens Bank & Trust Company,Bennettsville,Limited Service Facility Office,314 East Main Street,Bennettsville,SC,29512,34.61835123,-79.68017404
First-Citizens Bank & Trust Company,Bishopville,Full Service Brick and Mortar Office,144 South Main Street,Bishopville,SC,29010,34.21702856,-80.25036384
First-Citizens Bank & Trust Company,Bluffton,Full Service Brick and Mortar Office,1 Westbury Parkway,Bluffton,SC,29910,32.274666,-80.870733
First-Citizens Bank & Trust Company,Bluffton,Full Service Brick and Mortar Office,7 Arley Way,Okatie,SC,29909,32.27572869,-80.87283311
First-Citizens Bank & Trust Company,Blythewood,Full Service Brick and Mortar Office,201 Blythewood Road,Blythewood,SC,29016,34.21420639,-80.9775592
First-Citizens Bank & Trust Company,Boiling Springs,Full Service Brick and Mortar Office,3611 Boiling Springs Road,Boiling Springs,SC,29316,35.04458131,-81.98043039
First-Citizens Bank & Trust Company,Broughton Street,Full Service Brick and Mortar Office,791 Broughton Street,Orangeburg,SC,29115,33.48496608,-80.86149291
First-Citizens Bank & Trust Company,Bultman Drive,Full Service Brick and Mortar Office,683 Bultman Drive,Sumter,SC,29150,33.94084224,-80.37192229
First-Citizens Bank & Trust Company,Camden Main,Full Service Brick and Mortar Office,402 East Dekalb Street,Camden,SC,29020,34.2467447,-80.60330717
First-Citizens Bank & Trust Company,Carolina Forest,Full Service Brick and Mortar Office,4040 River Oaks Drive,Myrtle Beach,SC,29579,33.755364,-78.865938
First-Citizens Bank & Trust Company,Cayce,Full Service Brick and Mortar Office,860 Knox Abbott Drive,Cayce,SC,29033,33.98198295,-81.06279305
First-Citizens Bank & Trust Company,Centre South,Full Service Brick and Mortar Office,708 Silver Bluff Road,Aiken,SC,29803,33.5143732,-81.73279425
First-Citizens Bank & Trust Company,Charleston - East Bay,Limited Service Facility Office,152 East Bay Street,Charleston,SC,29401,32.778009,-79.926849
First-Citizens Bank & Trust Company,Charleston,Full Service Brick and Mortar Office,182 Meeting Street,Charleston,SC,29401,32.78034,-79.931322
First-Citizens Bank & Trust Company,Cheraw,Full Service Brick and Mortar Office,232 Market Street,Cheraw,SC,29520,34.69703441,-79.88426076
First-Citizens Bank & Trust Company,Cherrydale,Full Service Brick and Mortar Office,10 State Park Road,Greenville,SC,29609,34.89112518,-82.40426405
First-Citizens Bank & Trust Company,Chester Bypass,Full Service Brick and Mortar Office,1612 J A Cochran Bypass,Chester,SC,29706,34.69610225,-81.19290749
First-Citizens Bank & Trust Company,Chesterfield,Full Service Brick and Mortar Office,403 West Main Street,Chesterfield,SC,29709,34.7360905,-80.09172111
First-Citizens Bank & Trust Company,Clemson,Full Service Brick and Mortar Office,304 Old Greenville Highway,Clemson,SC,29631,34.68155883,-82.82001469
First-Citizens Bank & Trust Company,Clio,Full Service Brick and Mortar Office,114 South Main Street,Clio,SC,29525,34.57833465,-79.54491933
First-Citizens Bank & Trust Company,Columbia First Citizens,Full Service Brick and Mortar Office,1230 Main Street,Columbia,SC,29201,34.00207825,-81.03388718
First-Citizens Bank & Trust Company,Columbia Road,Full Service Brick and Mortar Office,"1820 Columbia Road, N.E.",Orangeburg,SC,29116,33.51309621,-80.86656856
First-Citizens Bank & Trust Company,Conway,Full Service Brick and Mortar Office,1200 Third Avenue,Conway,SC,29526,33.83405404,-79.04859115
First-Citizens Bank & Trust Company,Cowpens,Full Service Brick and Mortar Office,105 West Church Street,Cowpens,SC,29330,35.01719239,-81.80462182
First-Citizens Bank & Trust Company,Daniel Island,Full Service Brick and Mortar Office,"126 Seven Farms Drive, Suite 100",Charleston,SC,29492,32.865021,-79.9029585
First-Citizens Bank & Trust Company,Darlington,Full Service Brick and Mortar Office,511 Pearl Street,Darlington,SC,29532,34.29908858,-79.8780563
First-Citizens Bank & Trust Company,Dentsville,Full Service Brick and Mortar Office,7039 Parklane Road,Columbia,SC,29223,34.06663133,-80.95734502
First-Citizens Bank & Trust Company,Dillon,Full Service Brick and Mortar Office,406 U.S. Hwy 301 North,Dillon,SC,29536,34.41933897,-79.36898504
First-Citizens Bank & Trust Company,Easley Office,Full Service Brick and Mortar Office,6539 Calhoun Memorial Highway,Easley,SC,29640,34.82176307,-82.58656383
First-Citizens Bank & Trust Company,East Greenville Street,Full Service Brick and Mortar Office,1508 East Greenville Street,Anderson,SC,29621,34.52837498,-82.63532555
First-Citizens Bank & Trust Company,Ebenezer,Full Service Brick and Mortar Office,132 Herlong Avenue,Rock Hill,SC,29732,34.95728309,-81.04498062
First-Citizens Bank & Trust Company,Edgefield,Full Service Brick and Mortar Office,309 Main Street,Edgefield,SC,29824,33.78922491,-81.92801227
First-Citizens Bank & Trust Company,Elgin,Full Service Brick and Mortar Office,2464 Main Street,Elgin,SC,29045,34.17100666,-80.79090285
First-Citizens Bank & Trust Company,Fernwood Glendale,Full Service Brick and Mortar Office,1035 Fernwood Glendale Road,Spartanburg,SC,29307,34.96651649,-81.89197983
First-Citizens Bank & Trust Company,Five Forks,Full Service Brick and Mortar Office,2708 Woodruff Road,Simpsonville,SC,29681,34.805259,-82.2266595
First-Citizens Bank & Trust Company,Florence,Full Service Brick and Mortar Office,276 South Irby Street,Florence,SC,29501,34.194033,-79.7675535
First-Citizens Bank & Trust Company,Folly Road,Full Service Brick and Mortar Office,462 Folly Road,Charleston,SC,29412,32.755401,-79.9721145
First-Citizens Bank & Trust Company,Forest Lake,Full Service Brick and Mortar Office,4801 Forest Drive,Columbia,SC,29206,34.01952208,-80.96506219
First-Citizens Bank & Trust Company,Fort Mill,Full Service Brick and Mortar Office,1401 Highway 160,Fort Mill,SC,29715,35.00776995,-80.91266249
First-Citizens Bank & Trust Company,Georgetown,Full Service Brick and Mortar Office,726 Front Street,Georgetown,SC,29440,33.36620563,-79.28303113
First-Citizens Bank & Trust Company,Georgia Avenue,Full Service Brick and Mortar Office,518 Georgia Avenue,North Augusta,SC,29841,33.49446589,-81.97067304
First-Citizens Bank & Trust Company,Greenville,Full Service Brick and Mortar Office,325 W Mcbee Street,Greenville,SC,29601,34.85084569,-82.40343134
First-Citizens Bank & Trust Company,Greenwood,Full Service Brick and Mortar Office,518 South Main Street,Greenwood,SC,29646,34.187418,-82.160388
First-Citizens Bank & Trust Company,Hanahan,Full Service Brick and Mortar Office,1248 Yeamans Hall Road,Hanahan,SC,29410,32.903586,-80.0084745
First-Citizens Bank & Trust Company,Hartsville,Full Service Brick and Mortar Office,130 South Fifth Street,Hartsville,SC,29550,34.37324385,-80.07278777
First-Citizens Bank & Trust Company,Hemingway,Full Service Brick and Mortar Office,208 North Main Street,Hemingway,SC,29554,33.75497904,-79.44720858
First-Citizens Bank & Trust Company,Hillcrest,Full Service Brick and Mortar Office,1894 East Main Street,Spartanburg,SC,29307,34.96828916,-81.89174552
First-Citizens Bank & Trust Company,Hilton Head,Full Service Brick and Mortar Office,2 Northridge Drive,Hilton Head Island,SC,29926,32.21630531,-80.70597609
First-Citizens Bank & Trust Company,Hoffmeyer Road,Full Service Brick and Mortar Office,2009 Hoffmeyer Road,Florence,SC,29501,34.19115424,-79.80736963
First-Citizens Bank & Trust Company,Hollywood,Full Service Brick and Mortar Office,6213 South Carolina Highway 162,Hollywood,SC,29449,32.73520258,-80.23585962
First-Citizens Bank & Trust Company,Inman,Full Service Brick and Mortar Office,11280 Asheville Highway,Inman,SC,29349,35.0390649,-82.08024413
First-Citizens Bank & Trust Company,Interstate 26,Full Service Brick and Mortar Office,1319 North Main Street,Summerville,SC,29483,33.036471,-80.1539145
First-Citizens Bank & Trust Company,Irmo,Full Service Brick and Mortar Office,949 Lake Murray Boulevard,Irmo,SC,29063,34.0898625,-81.17353794
First-Citizens Bank & Trust Company,John B White Sr Br,Full Service Brick and Mortar Office,1450 John B White Sr Blvd,Spartanburg,SC,29306,34.92472645,-81.96994677
First-Citizens Bank & Trust Company,Johnnie Dodds,Full Service Brick and Mortar Office,903 Johnnie Dodds Boulevard,Mount Pleasant,SC,29464,32.810175,-79.8703065
First-Citizens Bank & Trust Company,Johnston,Full Service Brick and Mortar Office,430 Calhoun Street,Johnston,SC,29832,33.83187986,-81.80124386
First-Citizens Bank & Trust Company,Kershaw,Full Service Brick and Mortar Office,302 North Hampton Street,Kershaw,SC,29067,34.551135,-80.582859
First-Citizens Bank & Trust Company,Knox Avenue,Full Service Brick and Mortar Office,1289 Knox Avenue,North Augusta,SC,29861,33.507171,-81.957708
First-Citizens Bank & Trust Company,Lake City,Full Service Brick and Mortar Office,248 West Main Street,Lake City,SC,29560,33.87533155,-79.75765961
First-Citizens Bank & Trust Company,Lake View,Full Service Brick and Mortar Office,201 North Main Street,Lake View,SC,29563,34.34424728,-79.1659958
First-Citizens Bank & Trust Company,Lancaster,Full Service Brick and Mortar Office,500 North Main Street,Lancaster,SC,29720,34.72470448,-80.77328138
First-Citizens Bank & Trust Company,Landrum,Full Service Brick and Mortar Office,144 North Trade Avenue,Landrum,SC,29356,35.17672018,-82.19061048
First-Citizens Bank & Trust Company,Laurens,Full Service Brick and Mortar Office,305 West Main Street,Laurens,SC,29360,34.4981319,-82.01911544
First-Citizens Bank & Trust Company,Laurens Road Office,Full Service Brick and Mortar Office,2420 Laurens Road,Greenville,SC,29607,34.82992132,-82.3477567
First-Citizens Bank & Trust Company,Lewisville,Full Service Brick and Mortar Office,3551 Lancaster Hwy,Richburg,SC,29729,34.728696,-81.01944
First-Citizens Bank & Trust Company,Lexington,Full Service Brick and Mortar Office,5561 Sunset Boulevard,Lexington,SC,29072,33.99526938,-81.22433961
First-Citizens Bank & Trust Company,Liberty,Full Service Brick and Mortar Office,2 West Main Street,Liberty,SC,29657,34.788015,-82.693458
